dot,PTC,quantity,sale_price,reason,source_file
2023-10-01,SKU04064,3,,Missing product or sale price,sales_transactions.csv
2023-10-01,SKU00906,1,,Missing product or sale price,sales_transactions.csv
2023-10-01,SKU03589,1,,Missing product or sale price,sales_transactions.csv
2023-10-01,SKU04673,1,,Missing product or sale price,sales_transactions.csv
2023-10-02,SKU01842,1,,Missing product or sale price,sales_transactions.csv
2023-10-02,SKU03049,1,,Missing product or sale price,sales_transactions.csv
2023-10-02,SKU04440,1,,Missing product or sale price,sales_transactions.csv
2023-10-03,SKU02548,2,,Missing product or sale price,sales_transactions.csv
2023-10-03,SKU04765,1,,Missing product or sale price,sales_transactions.csv
2023-10-03,SKU03525,1,,Missing product or sale price,sales_transactions.csv
2023-10-04,SKU00606,2,,Missing product or sale price,sales_transactions.csv
2023-10-04,SKU04826,1,,Missing product or sale price,sales_transactions.csv
2023-10-05,SKU02178,1,,Missing product or sale price,sales_transactions.csv
2023-10-05,SKU04194,1,,Missing product or sale price,sales_transactions.csv
2023-10-05,SKU03626,1,,Missing product or sale price,sales_transactions.csv
2023-10-05,SKU02413,1,,Missing product or sale price,sales_transactions.csv
2023-10-05,SKU03875,1,,Missing product or sale price,sales_transactions.csv
2023-10-05,SKU04311,1,,Missing product or sale price,sales_transactions.csv
2023-10-06,SKU03172,1,,Missing product or sale price,sales_transactions.csv
2023-10-06,SKU02756,1,,Missing product or sale price,sales_transactions.csv
2023-10-06,SKU00384,1,,Missing product or sale price,sales_transactions.csv
2023-10-07,SKU02894,1,,Missing product or sale price,sales_transactions.csv
2023-10-07,SKU01958,3,,Missing product or sale price,sales_transactions.csv
2023-10-07,SKU03728,1,,Missing product or sale price,sales_transactions.csv
2023-10-07,SKU04330,1,,Missing product or sale price,sales_transactions.csv
2023-10-07,SKU01408,1,,Missing product or sale price,sales_transactions.csv
2023-10-07,SKU03875,1,,Missing product or sale price,sales_transactions.csv
2023-10-07,SKU04664,1,,Missing product or sale price,sales_transactions.csv
2023-10-08,SKU04879,1,,Missing product or sale price,sales_transactions.csv
2023-10-08,SKU01135,1,,Missing product or sale price,sales_transactions.csv
2023-10-08,SKU03725,1,,Missing product or sale price,sales_transactions.csv
2023-10-08,SKU00890,1,,Missing product or sale price,sales_transactions.csv
2023-10-08,SKU03839,1,,Missing product or sale price,sales_transactions.csv
2023-10-08,SKU02466,2,,Missing product or sale price,sales_transactions.csv
2023-10-08,SKU04437,1,,Missing product or sale price,sales_transactions.csv
2023-10-08,SKU04293,1,,Missing product or sale price,sales_transactions.csv
2023-10-09,SKU03019,1,,Missing product or sale price,sales_transactions.csv
2023-10-09,SKU03682,2,,Missing product or sale price,sales_transactions.csv
2023-10-09,SKU01087,1,,Missing product or sale price,sales_transactions.csv
2023-10-10,SKU00070,1,,Missing product or sale price,sales_transactions.csv
2023-10-10,SKU01194,1,,Missing product or sale price,sales_transactions.csv
2023-10-10,SKU01042,2,,Missing product or sale price,sales_transactions.csv
2023-10-10,SKU00260,2,,Missing product or sale price,sales_transactions.csv
2023-10-11,SKU01180,2,,Missing product or sale price,sales_transactions.csv
2023-10-11,SKU01336,1,,Missing product or sale price,sales_transactions.csv
2023-10-11,SKU00084,1,,Missing product or sale price,sales_transactions.csv
2023-10-11,SKU02787,1,,Missing product or sale price,sales_transactions.csv
2023-10-12,SKU04321,1,,Missing product or sale price,sales_transactions.csv
2023-10-12,SKU01062,1,,Missing product or sale price,sales_transactions.csv
2023-10-12,SKU03522,1,,Missing product or sale price,sales_transactions.csv
2023-10-12,SKU01987,1,,Missing product or sale price,sales_transactions.csv
2023-10-13,SKU03538,1,,Missing product or sale price,sales_transactions.csv
2023-10-13,SKU02855,1,,Missing product or sale price,sales_transactions.csv
2023-10-13,SKU01493,2,,Missing product or sale price,sales_transactions.csv
2023-10-13,SKU02320,1,,Missing product or sale price,sales_transactions.csv
2023-10-14,SKU01432,1,,Missing product or sale price,sales_transactions.csv
2023-10-15,SKU03359,1,,Missing product or sale price,sales_transactions.csv
2023-10-15,SKU04415,1,,Missing product or sale price,sales_transactions.csv
2023-10-15,SKU01170,3,,Missing product or sale price,sales_transactions.csv
2023-10-15,SKU00777,1,,Missing product or sale price,sales_transactions.csv
2023-10-15,SKU04070,1,,Missing product or sale price,sales_transactions.csv
2023-10-15,SKU01975,1,,Missing product or sale price,sales_transactions.csv
2023-10-16,SKU01849,1,,Missing product or sale price,sales_transactions.csv
2023-10-16,SKU04000,1,,Missing product or sale price,sales_transactions.csv
2023-10-16,SKU01081,1,,Missing product or sale price,sales_transactions.csv
2023-10-16,SKU04938,1,,Missing product or sale price,sales_transactions.csv
2023-10-17,SKU02859,3,,Missing product or sale price,sales_transactions.csv
2023-10-17,SKU00776,1,,Missing product or sale price,sales_transactions.csv
2023-10-17,SKU02516,1,,Missing product or sale price,sales_transactions.csv
2023-10-17,SKU01767,1,,Missing product or sale price,sales_transactions.csv
2023-10-17,SKU04749,1,,Missing product or sale price,sales_transactions.csv
2023-10-17,SKU03151,1,,Missing product or sale price,sales_transactions.csv
2023-10-17,SKU02646,1,,Missing product or sale price,sales_transactions.csv
2023-10-18,SKU02144,2,,Missing product or sale price,sales_transactions.csv
2023-10-18,SKU01756,1,,Missing product or sale price,sales_transactions.csv
2023-10-18,SKU04003,1,,Missing product or sale price,sales_transactions.csv
2023-10-19,SKU03006,1,,Missing product or sale price,sales_transactions.csv
2023-10-19,SKU04107,3,,Missing product or sale price,sales_transactions.csv
2023-10-19,SKU04936,1,,Missing product or sale price,sales_transactions.csv
2023-10-19,SKU03486,2,,Missing product or sale price,sales_transactions.csv
2023-10-19,SKU02858,1,,Missing product or sale price,sales_transactions.csv
2023-10-19,SKU03271,1,,Missing product or sale price,sales_transactions.csv
2023-10-20,SKU03441,1,,Missing product or sale price,sales_transactions.csv
2023-10-20,SKU02392,1,,Missing product or sale price,sales_transactions.csv
2023-10-20,SKU03454,1,,Missing product or sale price,sales_transactions.csv
2023-10-20,SKU04518,1,,Missing product or sale price,sales_transactions.csv
2023-10-20,SKU00721,2,,Missing product or sale price,sales_transactions.csv
2023-10-21,SKU04652,1,,Missing product or sale price,sales_transactions.csv
2023-10-21,SKU03141,1,,Missing product or sale price,sales_transactions.csv
2023-10-21,SKU04237,1,,Missing product or sale price,sales_transactions.csv
2023-10-21,SKU03528,1,,Missing product or sale price,sales_transactions.csv
2023-10-21,SKU01987,2,,Missing product or sale price,sales_transactions.csv
2023-10-22,SKU03683,1,,Missing product or sale price,sales_transactions.csv
2023-10-22,SKU00405,1,,Missing product or sale price,sales_transactions.csv
2023-10-22,SKU04602,1,,Missing product or sale price,sales_transactions.csv
2023-10-22,SKU03050,1,,Missing product or sale price,sales_transactions.csv
2023-10-22,SKU01640,1,,Missing product or sale price,sales_transactions.csv
2023-10-22,SKU04218,1,,Missing product or sale price,sales_transactions.csv
2023-10-23,SKU02166,1,,Missing product or sale price,sales_transactions.csv
2023-10-23,SKU01833,2,,Missing product or sale price,sales_transactions.csv
2023-10-23,SKU04039,1,,Missing product or sale price,sales_transactions.csv
2023-10-23,SKU03255,1,,Missing product or sale price,sales_transactions.csv
2023-10-23,SKU01798,1,,Missing product or sale price,sales_transactions.csv
2023-10-23,SKU04134,1,,Missing product or sale price,sales_transactions.csv
2023-10-23,SKU02295,1,,Missing product or sale price,sales_transactions.csv
2023-10-24,SKU04541,1,,Missing product or sale price,sales_transactions.csv
2023-10-24,SKU04011,1,,Missing product or sale price,sales_transactions.csv
2023-10-24,SKU04185,1,,Missing product or sale price,sales_transactions.csv
2023-10-24,SKU03782,1,,Missing product or sale price,sales_transactions.csv
2023-10-24,SKU04531,1,,Missing product or sale price,sales_transactions.csv
2023-10-25,SKU00397,1,,Missing product or sale price,sales_transactions.csv
2023-10-25,SKU02588,1,,Missing product or sale price,sales_transactions.csv
2023-10-25,SKU01826,1,,Missing product or sale price,sales_transactions.csv
2023-10-25,SKU03224,1,,Missing product or sale price,sales_transactions.csv
2023-10-25,SKU04504,1,,Missing product or sale price,sales_transactions.csv
2023-10-26,SKU04813,1,,Missing product or sale price,sales_transactions.csv
2023-10-26,SKU04056,1,,Missing product or sale price,sales_transactions.csv
2023-10-27,SKU00465,1,,Missing product or sale price,sales_transactions.csv
2023-10-27,SKU04917,1,,Missing product or sale price,sales_transactions.csv
2023-10-27,SKU02753,2,,Missing product or sale price,sales_transactions.csv
2023-10-27,SKU03871,1,,Missing product or sale price,sales_transactions.csv
2023-10-27,SKU01283,1,,Missing product or sale price,sales_transactions.csv
2023-10-28,SKU04188,1,,Missing product or sale price,sales_transactions.csv
2023-10-28,SKU00860,1,,Missing product or sale price,sales_transactions.csv
2023-10-28,SKU02156,1,,Missing product or sale price,sales_transactions.csv
2023-10-28,SKU03886,1,,Missing product or sale price,sales_transactions.csv
2023-10-29,SKU01368,1,,Missing product or sale price,sales_transactions.csv
2023-10-29,SKU04210,2,,Missing product or sale price,sales_transactions.csv
2023-10-30,SKU01716,1,,Missing product or sale price,sales_transactions.csv
2023-10-30,SKU01117,2,,Missing product or sale price,sales_transactions.csv
2023-10-30,SKU02861,2,,Missing product or sale price,sales_transactions.csv
2023-10-30,SKU00078,1,,Missing product or sale price,sales_transactions.csv
2023-10-31,SKU02685,1,,Missing product or sale price,sales_transactions.csv
2023-10-31,SKU03845,1,,Missing product or sale price,sales_transactions.csv
2023-10-31,SKU03159,1,,Missing product or sale price,sales_transactions.csv
2023-10-31,SKU00180,1,,Missing product or sale price,sales_transactions.csv
2023-11-01,SKU02781,1,,Missing product or sale price,sales_transactions.csv
2023-11-01,SKU04726,1,,Missing product or sale price,sales_transactions.csv
2023-11-01,SKU04030,1,,Missing product or sale price,sales_transactions.csv
2023-11-01,SKU01262,1,,Missing product or sale price,sales_transactions.csv
2023-11-01,SKU01784,1,,Missing product or sale price,sales_transactions.csv
2023-11-01,SKU00483,2,,Missing product or sale price,sales_transactions.csv
2023-11-01,SKU04629,1,,Missing product or sale price,sales_transactions.csv
2023-11-01,SKU04278,2,,Missing product or sale price,sales_transactions.csv
2023-11-02,SKU00954,1,,Missing product or sale price,sales_transactions.csv
2023-11-02,SKU01370,1,,Missing product or sale price,sales_transactions.csv
2023-11-02,SKU01974,1,,Missing product or sale price,sales_transactions.csv
2023-11-02,SKU01913,1,,Missing product or sale price,sales_transactions.csv
2023-11-02,SKU04125,3,,Missing product or sale price,sales_transactions.csv
2023-11-02,SKU00537,1,,Missing product or sale price,sales_transactions.csv
2023-11-02,SKU03106,1,,Missing product or sale price,sales_transactions.csv
2023-11-02,SKU03431,1,,Missing product or sale price,sales_transactions.csv
2023-11-03,SKU02583,1,,Missing product or sale price,sales_transactions.csv
2023-11-03,SKU01693,1,,Missing product or sale price,sales_transactions.csv
2023-11-03,SKU02712,1,,Missing product or sale price,sales_transactions.csv
2023-11-03,SKU02568,1,,Missing product or sale price,sales_transactions.csv
2023-11-03,SKU01663,2,,Missing product or sale price,sales_transactions.csv
2023-11-04,SKU01101,1,,Missing product or sale price,sales_transactions.csv
2023-11-04,SKU00770,2,,Missing product or sale price,sales_transactions.csv
2023-11-04,SKU01541,1,,Missing product or sale price,sales_transactions.csv
2023-11-04,SKU00205,1,,Missing product or sale price,sales_transactions.csv
2023-11-04,SKU03168,3,,Missing product or sale price,sales_transactions.csv
2023-11-04,SKU00345,1,,Missing product or sale price,sales_transactions.csv
2023-11-04,SKU03483,1,,Missing product or sale price,sales_transactions.csv
2023-11-04,SKU03009,1,,Missing product or sale price,sales_transactions.csv
2023-11-05,SKU03050,1,,Missing product or sale price,sales_transactions.csv
2023-11-05,SKU03444,1,,Missing product or sale price,sales_transactions.csv
2023-11-05,SKU04970,1,,Missing product or sale price,sales_transactions.csv
2023-11-05,SKU02918,3,,Missing product or sale price,sales_transactions.csv
2023-11-05,SKU03737,1,,Missing product or sale price,sales_transactions.csv
2023-11-05,SKU04264,1,,Missing product or sale price,sales_transactions.csv
2023-11-06,SKU00784,2,,Missing product or sale price,sales_transactions.csv
2023-11-06,SKU00443,1,,Missing product or sale price,sales_transactions.csv
2023-11-06,SKU01171,2,,Missing product or sale price,sales_transactions.csv
2023-11-06,SKU02250,1,,Missing product or sale price,sales_transactions.csv
2023-11-06,SKU03325,3,,Missing product or sale price,sales_transactions.csv
2023-11-07,SKU02046,1,,Missing product or sale price,sales_transactions.csv
